Kode,Nama Bahan,description
AP039,Brem," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 249 kalori, 3.4 gram protein, 0.4 gram lemak, 58.0 gram karbohidrat, dan 0.0 gram serat."
AP040,Bubur tinotuan (Manado)," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 156 kalori, 2.3 gram protein, 0.2 gram lemak, 15.6 gram karbohidrat, dan 8.2 gram serat."
AP041,Cake tape," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 323 kalori, 4.9 gram protein, 11.5 gram lemak, 50.1 gram karbohidrat, dan 1.4 gram serat."
AP042,Cangkuning," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 204 kalori, 2.8 gram protein, 7.5 gram lemak, 31.4 gram karbohidrat, dan 0.0 gram serat."
AP043,Dodol bali," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 298 kalori, 3.7 gram protein, 2.1 gram lemak, 65.9 gram karbohidrat, dan 0.4 gram serat."
AP044,Dodol galamai," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 348 kalori, 0.4 gram protein, 3.8 gram lemak, 76.1 gram karbohidrat, dan 0.5 gram serat."
AP045,Dodol kedondong," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 331 kalori, 1.9 gram protein, 7.6 gram lemak, 63.8 gram karbohidrat, dan 1.0 gram serat."
AP046,Dodol manado," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 373 kalori, 4.3 gram protein, 16.5 gram lemak, 51.9 gram karbohidrat, dan 0.4 gram serat."
AP047,Emping beras," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 403 kalori, 10.6 gram protein, 2.2 gram lemak, 85.3 gram karbohidrat, dan 0.2 gram serat."
AP048,Gemblong," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 274 kalori, 1.7 gram protein, 5.4 gram lemak, 55.5 gram karbohidrat, dan 2.2 gram serat."
AP049,Gendar goreng," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 407 kalori, 6.4 gram protein, 28.2 gram lemak, 32.0 gram karbohidrat, dan 0.1 gram serat."
AP050,Intip goreng," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 474 kalori, 7.6 gram protein, 21.6 gram lemak, 62.3 gram karbohidrat, dan 1.2 gram serat."
AP051,Jagung gerontol," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 156 kalori, 2.7 gram protein, 1.3 gram lemak, 33.3 gram karbohidrat, dan 1.0 gram serat."
AP052,Jagung titi," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 374 kalori, 9.4 gram protein, 2.2 gram lemak, 79.1 gram karbohidrat, dan 0.8 gram serat."
AP053,Japilus," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 500 kalori, 1.2 gram protein, 25.1 gram lemak, 67.3 gram karbohidrat, dan 0.4 gram serat."
AP054,Kakicak," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 296 kalori, 3.4 gram protein, 15.1 gram lemak, 36.7 gram karbohidrat, dan 0.0 gram serat."
AP055,Kambose," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 164 kalori, 3.0 gram protein, 2.4 gram lemak, 32.6 gram karbohidrat, dan 4.3 gram serat."
AP056,Kapusa," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 158 kalori, 4.4 gram protein, 3.2 gram lemak, 27.8 gram karbohidrat, dan 5.3 gram serat."
AP057,Keddo bodong," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 290 kalori, 4.6 gram protein, 5.7 gram lemak, 55.2 gram karbohidrat, dan 0.0 gram serat."
AP058,"Kelepon, kue"," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 215 kalori, 3.7 gram protein, 3.7 gram lemak, 41.8 gram karbohidrat, dan 1.0 gram serat."
AP059,Kereput," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 580 kalori, 4.8 gram protein, 39.6 gram lemak, 51.1 gram karbohidrat, dan 0.0 gram serat."
AP060,Ketoprak," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 153 kalori, 7.9 gram protein, 7.7 gram lemak, 13.0 gram karbohidrat, dan 2.9 gram serat."
AP061,Ketupat kandangan," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 109 kalori, 2.2 gram protein, 5.2 gram lemak, 13.4 gram karbohidrat, dan 0.0 gram serat."
AP062,Koya," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 366 kalori, 4.2 gram protein, 4.3 gram lemak, 77.5 gram karbohidrat, dan 0.8 gram serat."
AP063,Koya mirasa," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 370 kalori, 8.0 gram protein, 1.0 gram lemak, 82.2 gram karbohidrat, dan 0.4 gram serat."
AP064,Koyabu," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 241 kalori, 3.4 gram protein, 4.3 gram lemak, 47.2 gram karbohidrat, dan 0.0 gram serat."
AP065,Kue ali," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 440 kalori, 3.8 gram protein, 18.5 gram lemak, 64.5 gram karbohidrat, dan 0.3 gram serat."
AP066,Kue bangen," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 442 kalori, 3.3 gram protein, 14.7 gram lemak, 74.2 gram karbohidrat, dan 0.0 gram serat."
AP067,Kue gelang," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 448 kalori, 5.8 gram protein, 16.1 gram lemak, 70.0 gram karbohidrat, dan 0.0 gram serat."
AP068,Kue jahe," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 425 kalori, 1.6 gram protein, 8.8 gram lemak, 84.6 gram karbohidrat, dan 1.2 gram serat."
AP069,Kue kelapa," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 591 kalori, 5.6 gram protein, 42.1 gram lemak, 47.5 gram karbohidrat, dan 0.0 gram serat."
AP070,Kue koa," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 340 kalori, 4.8 gram protein, 0.4 gram lemak, 79.3 gram karbohidrat, dan 0.0 gram serat."
AP071,Kue ku temu," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 214 kalori, 3.5 gram protein, 0.2 gram lemak, 49.6 gram karbohidrat, dan 0.0 gram serat."
AP072,Kue lumpur," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 291 kalori, 3.6 gram protein, 11.1 gram lemak, 44.1 gram karbohidrat, dan 0.0 gram serat."
AP073,Kue pelita," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 141 kalori, 5.3 gram protein, 5.5 gram lemak, 17.6 gram karbohidrat, dan 0.0 gram serat."
AP074,Kue putu cangkir," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 304 kalori, 5.3 gram protein, 7.0 gram lemak, 54.9 gram karbohidrat, dan 0.9 gram serat."
AP075,Kue sus," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 221 kalori, 7.5 gram protein, 10.2 gram lemak, 24.8 gram karbohidrat, dan 0.0 gram serat."
AP076,Kue thipan," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 247 kalori, 2.9 gram protein, 4.2 gram lemak, 49.5 gram karbohidrat, dan 0.0 gram serat."
AP077,Laksa/Putu mayang," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 121 kalori, 1.7 gram protein, 3.4 gram lemak, 21.1 gram karbohidrat, dan 0.0 gram serat."
AP078,Lapis legit," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 389 kalori, 6.6 gram protein, 15.7 gram lemak, 55.5 gram karbohidrat, dan 0.5 gram serat."
AP079,Lupis ketan," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 164 kalori, 1.8 gram protein, 2.1 gram lemak, 34.5 gram karbohidrat, dan 0.7 gram serat."
AP080,Manan samin," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 379 kalori, 3.4 gram protein, 18.1 gram lemak, 50.6 gram karbohidrat, dan 0.0 gram serat."
AP081,Martabak india," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 153 kalori, 4.5 gram protein, 4.2 gram lemak, 24.3 gram karbohidrat, dan 0.0 gram serat."
AP082,Martabak mesir," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 278 kalori, 5.1 gram protein, 8.6 gram lemak, 45.0 gram karbohidrat, dan 0.0 gram serat."
AP083,Masekat," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 369 kalori, 2.1 gram protein, 7.0 gram lemak, 74.1 gram karbohidrat, dan 4.0 gram serat."
AP084,Mie aceh rebus," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 113 kalori, 3.0 gram protein, 3.2 gram lemak, 18.1 gram karbohidrat, dan 0.0 gram serat."
AP085,Mie ayam," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 102 kalori, 6.2 gram protein, 3.9 gram lemak, 10.5 gram karbohidrat, dan 0.0 gram serat."
AP086,Mie bakso," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 114 kalori, 5.3 gram protein, 3.0 gram lemak, 16.4 gram karbohidrat, dan 0.1 gram serat."
AP087,Mie celon," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 102 kalori, 3.0 gram protein, 2.1 gram lemak, 17.8 gram karbohidrat, dan 0.0 gram serat."
AP088,Mie pangsit basah," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 105 kalori, 5.9 gram protein, 4.9 gram lemak, 9.4 gram karbohidrat, dan 0.0 gram serat."
AP089,Nasi gemuk," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 192 kalori, 3.8 gram protein, 8.8 gram lemak, 24.4 gram karbohidrat, dan 0.7 gram serat."
AP090,Nasi gurih," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 190 kalori, 4.7 gram protein, 7.5 gram lemak, 26.0 gram karbohidrat, dan 0.7 gram serat."
AP091,Nasi minyak," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 207 kalori, 3.5 gram protein, 5.0 gram lemak, 37.1 gram karbohidrat, dan 0.8 gram serat."
AP092,Nasi rames," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 155 kalori, 10.3 gram protein, 4.2 gram lemak, 19.1 gram karbohidrat, dan 0.0 gram serat."
AP093,Nopia spesial," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 387 kalori, 5.3 gram protein, 7.6 gram lemak, 74.3 gram karbohidrat, dan 0.3 gram serat."
AP094,Onde-onde," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 336 kalori, 4.0 gram protein, 9.8 gram lemak, 57.9 gram karbohidrat, dan 0.0 gram serat."
AP095,Padamaran," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 171 kalori, 3.9 gram protein, 8.9 gram lemak, 18.8 gram karbohidrat, dan 0.0 gram serat."
AP096,Pastel," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 307 kalori, 4.5 gram protein, 13.3 gram lemak, 42.4 gram karbohidrat, dan 0.0 gram serat."
AP097,Pulut," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 216 kalori, 2.6 gram protein, 3.1 gram lemak, 44.4 gram karbohidrat, dan 0.0 gram serat."
AP098,Pundut nasi," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 104 kalori, 1.9 gram protein, 4.1 gram lemak, 15.1 gram karbohidrat, dan 0.4 gram serat."
AP099,Putri hijau," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 189 kalori, 5.4 gram protein, 2.1 gram lemak, 37.2 gram karbohidrat, dan 0.0 gram serat."
AP100,Putri selat," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 163 kalori, 2.2 gram protein, 6.5 gram lemak, 23.8 gram karbohidrat, dan 0.0 gram serat."
AP101,Putu sopa," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 215 kalori, 3.3 gram protein, 4.1 gram lemak, 41.1 gram karbohidrat, dan 0.0 gram serat."
AP102,Renggi goreng," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 471 kalori, 4.7 gram protein, 21.8 gram lemak, 64.1 gram karbohidrat, dan 6.4 gram serat."
AP103,Roti boong," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 341 kalori, 5.5 gram protein, 16.2 gram lemak, 43.3 gram karbohidrat, dan 0.0 gram serat."
AP104,Roti warna sawo matang," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 249 kalori, 7.9 gram protein, 1.5 gram lemak, 49.7 gram karbohidrat, dan 0.0 gram serat."
AP105,Sarimuka," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 166 kalori, 2.3 gram protein, 2.8 gram lemak, 32.9 gram karbohidrat, dan 0.0 gram serat."
AP106,Spaghetti," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 139 kalori, 7.4 gram protein, 2.1 gram lemak, 22.6 gram karbohidrat, dan 0.0 gram serat."
AP107,Srikaya ketan," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 265 kalori, 2.7 gram protein, 6.4 gram lemak, 49.1 gram karbohidrat, dan 0.0 gram serat."
AP108,Sunduk lawang," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 181 kalori, 1.9 gram protein, 1.3 gram lemak, 32.4 gram karbohidrat, dan 0.0 gram serat."
AP109,Suwir-suwir," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 347 kalori, 0.5 gram protein, 0.9 gram lemak, 84.2 gram karbohidrat, dan 0.8 gram serat."
AP110,Tipa-tipa," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 355 kalori, 6.2 gram protein, 1.2 gram lemak, 79.8 gram karbohidrat, dan 1.3 gram serat."
AP111,Wajit camilan," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 303 kalori, 6.3 gram protein, 2.7 gram lemak, 63.3 gram karbohidrat, dan 6.9 gram serat."
AP112,Widaran," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 424 kalori, 1.3 gram protein, 10.7 gram lemak, 80.7 gram karbohidrat, dan 0.2 gram serat."
AP113,Wingko babat," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 355 kalori, 3.2 gram protein, 15.1 gram lemak, 51.4 gram karbohidrat, dan 2.4 gram serat."
AP114,Yangko," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 254 kalori, 3.0 gram protein, 1.1 gram lemak, 58.1 gram karbohidrat, dan 0.8 gram serat."
BR001,"Arrowroot, segar"," termasuk dalam kategori Umbi Berpati. Bahan ini per 100 gram-nya memiliki 102 kalori, 1.0 gram protein, 0.2 gram lemak, 24.1 gram karbohidrat, dan 1.7 gram serat."
BR002,"Batatas gembili, segar"," termasuk dalam kategori Umbi Berpati. Bahan ini per 100 gram-nya memiliki 76 kalori, 1.1 gram protein, 0.9 gram lemak, 16.0 gram karbohidrat, dan 4.2 gram serat."
BR003,"Batatas kelapa, ubi,segar"," termasuk dalam kategori Umbi Berpati. Bahan ini per 100 gram-nya memiliki 89 kalori, 1.1 gram protein, 0.1 gram lemak, 21.0 gram karbohidrat, dan 4.0 gram serat."
BR004,"Belitung, talas, segar"," termasuk dalam kategori Umbi Berpati. Bahan ini per 100 gram-nya memiliki 145 kalori, 1.2 gram protein, 0.4 gram lemak, 34.2 gram karbohidrat, dan 1.5 gram serat."
BR005,"Bengkuang, segar"," termasuk dalam kategori Umbi Berpati. Bahan ini per 100 gram-nya memiliki 59 kalori, 1.4 gram protein, 0.2 gram lemak, 12.8 gram karbohidrat, dan 1.0 gram serat."
BR006,"Bentul (Komba), talas,segar"," termasuk dalam kategori Umbi Berpati. Bahan ini per 100 gram-nya memiliki 98 kalori, 1.6 gram protein, 0.7 gram lemak, 20.9 gram karbohidrat, dan 0.7 gram serat."
BR007,"Gadeng/Gadung,kering"," termasuk dalam kategori Umbi Berpati. Bahan ini per 100 gram-nya memiliki 322 kalori, 2.4 gram protein, 0.6 gram lemak, 76.6 gram karbohidrat, dan 0.0 gram serat."
BR008,"Gadung, ubi, segar"," termasuk dalam kategori Umbi Berpati. Bahan ini per 100 gram-nya memiliki 100 kalori, 0.9 gram protein, 0.3 gram lemak, 23.5 gram karbohidrat, dan 2.1 gram serat."
BR009,"Ganyong, segar"," termasuk dalam kategori Umbi Berpati. Bahan ini per 100 gram-nya memiliki 77 kalori, 0.6 gram protein, 0.2 gram lemak, 18.4 gram karbohidrat, dan 0.8 gram serat."
BR010,"Gembili, ubi, segar"," termasuk dalam kategori Umbi Berpati. Bahan ini per 100 gram-nya memiliki 131 kalori, 1.1 gram protein, 0.2 gram lemak, 31.3 gram karbohidrat, dan 1.1 gram serat."
BR011,"Hofa/Ubi hutan, segar"," termasuk dalam kategori Umbi Berpati. Bahan ini per 100 gram-nya memiliki 127 kalori, 1.2 gram protein, 0.5 gram lemak, 29.5 gram karbohidrat, dan 3.4 gram serat."
BR012,"Kaburan, ubi, segar"," termasuk dalam kategori Umbi Berpati. Bahan ini per 100 gram-nya memiliki 133 kalori, 1.0 gram protein, 0.2 gram lemak, 32.2 gram karbohidrat, dan 0.7 gram serat."
BR013,"Kentang, segar"," termasuk dalam kategori Umbi Berpati. Bahan ini per 100 gram-nya memiliki 62 kalori, 2.1 gram protein, 0.2 gram lemak, 13.5 gram karbohidrat, dan 0.5 gram serat."
BR014,"Kentang hitam, segar"," termasuk dalam kategori Umbi Berpati. Bahan ini per 100 gram-nya memiliki 142 kalori, 0.9 gram protein, 0.4 gram lemak, 33.7 gram karbohidrat, dan 5.4 gram serat."
BR015,"Keribang, ubi, segar"," termasuk dalam kategori Umbi Berpati. Bahan ini per 100 gram-nya memiliki 137 kalori, 1.3 gram protein, 1.1 gram lemak, 29.8 gram karbohidrat, dan 0.6 gram serat."
BR016,"Ketela pohon/singkong, segar"," termasuk dalam kategori Umbi Berpati. Bahan ini per 100 gram-nya memiliki 154 kalori, 1.0 gram protein, 0.3 gram lemak, 36.8 gram karbohidrat, dan 0.9 gram serat."
BR017,Lepok/Ubi rumput," termasuk dalam kategori Umbi Berpati. Bahan ini per 100 gram-nya memiliki 181 kalori, 2.8 gram protein, 1.2 gram lemak, 39.8 gram karbohidrat, dan 10.7 gram serat."
BR018,"Sagu aren, kering"," termasuk dalam kategori Umbi Berpati. Bahan ini per 100 gram-nya memiliki 355 kalori, 0.6 gram protein, 1.1 gram lemak, 85.6 gram karbohidrat, dan 0.3 gram serat."
BR019,"Sagu aren, segar"," termasuk dalam kategori Umbi Berpati. Bahan ini per 100 gram-nya memiliki 231 kalori, 0.6 gram protein, 0.2 gram lemak, 56.6 gram karbohidrat, dan 3.2 gram serat."
